Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Kingsley Ehizibue,Udinese,DF,29.0,2498,0,1,1.2,2.2,55,23,70,76.7,55,54,116,4,14,22,1272,76.4,261.0,160.26999999999998,440.2,DF,1
Chidera Ejuke,Sevilla,FW,26.0,966,2,1,1.1,1.9,19,5,8,81.6,38,75,101,8,20,21,612,115.2,60.0,124.36,375.7,FW,4
Jeff Ekhator,Genoa,"FW,MF",17.0,769,1,1,1.3,1.0,7,2,5,66.7,14,4,51,3,10,11,254,24.1,25.5,57.17,133.4,MF,0
Hugo Ekitike,Eint Frankfurt,FW,22.0,2563,15,8,21.6,6.8,16,7,24,75.5,53,93,215,44,114,44,1054,361.2,82.0,223.95,674.9,FW,2
Jurgen Ekkelenkamp,Udinese,MF,24.0,1892,3,2,2.8,1.3,36,12,26,79.7,72,34,86,9,27,15,868,89.1,135.0,184.37,309.8,MF,4
Jacques Ekomie,Angers,"DF,FW",20.0,697,0,0,0.0,0.0,22,4,14,70.4,20,13,24,0,1,0,358,14.0,73.0,47.04,103.3,DF,0
Emmanuel Ekong,Empoli,"MF,FW",22.0,186,0,0,0.1,0.1,4,1,1,68.2,5,8,19,1,4,2,84,13.7,11.5,20.12,58.4,MF,0
Caleb Ekuban,Genoa,FW,30.0,555,1,3,2.8,0.8,3,1,6,67.3,8,7,42,6,18,8,174,42.6,17.0,46.13,111.9,FW,0
Pierre Ekwah Elimby,Saint-Étienne,MF,22.0,2575,1,0,0.7,1.0,54,47,72,88.2,146,20,21,6,25,16,1885,58.4,310.0,327.82,260.5,MF,1
Anthony Elanga,Nott'ham Forest,"FW,MF",22.0,2501,6,11,4.5,5.7,19,6,25,65.3,63,102,229,24,44,50,1115,209.0,87.5,257.63,722.5,MF,2
Meschak Elia,Nantes,FW,26.0,170,1,0,1.1,0.2,7,0,2,56.5,5,9,22,1,5,3,99,20.7,17.0,20.75,67.4,FW,0
Mikael Ellertsson,Venezia,"DF,MF",22.0,2470,2,2,1.1,1.6,58,17,79,71.0,36,33,92,4,21,20,938,68.2,268.5,119.9,327.3,DF,1
Harvey Elliott,Liverpool,MF,21.0,371,1,2,1.8,1.1,5,1,3,82.2,44,10,30,4,17,10,339,39.6,16.5,120.52,108.9,MF,0
Elif Elmas,Torino,"FW,MF",24.0,1021,4,0,1.4,0.4,10,6,5,80.4,34,42,58,9,19,9,444,89.3,39.5,90.74,223.4,MF,4
Aritz Elustondo,Real Sociedad,DF,30.0,1457,0,0,0.4,0.2,20,11,96,85.4,51,17,4,0,4,4,1092,21.8,206.0,117.14,142.7,DF,3
Nico Elvedi,Gladbach,DF,27.0,2135,1,1,2.0,0.4,38,30,163,92.0,55,20,5,3,12,5,1827,43.5,380.5,130.9,222.7,DF,1
Adri Embarba,Rayo Vallecano,"FW,MF",32.0,1607,1,1,2.1,2.7,41,13,14,63.9,45,47,114,12,37,20,847,109.2,129.0,137.49,383.2,MF,4
Breel Embolo,Monaco,"FW,MF",27.0,1841,6,4,10.8,5.6,22,3,10,69.2,55,22,140,18,51,32,668,139.6,65.0,193.72,379.8,MF,4
Emanuel Emegha,Strasbourg,FW,21.0,2293,14,3,17.0,2.4,6,1,30,80.3,14,37,104,35,61,18,577,226.5,59.0,79.23,321.2,FW,4
Emerson,Milan,DF,25.0,1377,0,0,0.4,0.7,45,14,56,86.2,68,23,71,2,10,15,1102,36.8,202.0,169.22,286.7,DF,3
Julio Enciso,Ipswich Town,"MF,FW",20.0,869,2,3,1.7,1.4,12,1,6,69.0,28,23,44,11,32,13,406,80.9,35.0,95.6,163.1,MF,0
Julio Enciso,Brighton,"MF,FW",20.0,294,0,0,1.0,0.2,0,0,1,66.0,14,11,17,11,20,5,202,49.5,1.5,42.7,70.7,MF,0
Wataru Endo,Liverpool,"MF,DF",31.0,273,0,0,0.0,0.1,12,6,9,93.8,19,1,8,0,0,2,237,1.0,49.5,50.68,41.2,DF,0
Endrick,Real Madrid,FW,18.0,363,1,0,2.5,0.5,1,4,1,78.7,8,12,32,6,24,4,127,53.0,11.5,31.37,94.7,FW,0
Yannik Engelhardt,Como,"MF,DF",23.0,1164,1,1,0.6,1.5,30,11,27,88.7,54,18,18,2,8,12,836,33.2,122.5,142.37,146.60000000000002,DF,3
Christian Eriksen,Manchester Utd,MF,32.0,1061,1,2,1.4,3.2,19,7,8,78.8,55,13,29,1,14,31,850,34.3,64.0,179.98,162.5,MF,3
Martin Erlic,Bologna,DF,26.0,334,0,0,0.2,0.0,2,2,9,91.7,11,4,1,0,6,0,268,10.4,21.5,31.17,34.8,DF,0
Patrick Erras,Holstein Kiel,DF,29.0,832,1,0,0.9,0.1,8,9,64,92.0,25,3,1,1,8,3,622,17.3,130.0,64.0,68.7,DF,0
Alfonso Espino,Rayo Vallecano,DF,32.0,833,0,1,0.4,0.6,41,12,32,74.3,39,10,29,2,10,5,637,23.8,154.0,97.73,136.7,DF,3
