Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Max Aarons,Valencia,"DF,MF",24.0,120,0,0,0.0,0.0,4,0,3,71.2,6,0,10,0,0,1,85,0.0,12.5,20.62,28.5,DF,0
Yunis Abdelhamid,Saint-Étienne,DF,36.0,1033,0,0,0.2,0.1,17,14,57,86.7,22,4,3,1,2,2,641,7.9,147.5,55.97,76.10000000000001,DF,3
Himad Abdelli,Angers,"MF,FW",24.0,2842,6,1,6.4,3.2,48,26,28,82.1,207,107,111,8,35,39,1993,184.8,190.0,493.31,581.8,MF,5
Mohamed Abdelmoneim,Nice,DF,25.0,855,0,0,0.0,0.0,21,15,56,90.4,52,6,5,0,0,0,635,6.0,156.0,113.04,82.5,DF,3
Ali Abdi,Nice,"DF,MF",30.0,1393,5,2,4.3,1.9,43,20,37,74.0,42,35,101,11,29,20,886,104.1,181.5,133.10000000000002,343.1,DF,4
Saud Abdulhamid,Roma,DF,25.0,205,0,1,0.0,0.2,3,2,0,86.8,9,6,26,0,1,2,157,7.0,10.0,33.28,76.7,DF,0
Abel,Osasuna,DF,23.0,2074,2,0,0.5,1.0,61,18,64,72.5,77,50,92,4,12,16,1322,75.0,254.0,188.25,391.2000000000001,DF,1
Nabil Aberdin,Getafe,MF,21.0,263,0,0,0.0,0.0,6,0,5,59.0,6,2,2,0,2,1,87,4.0,19.5,19.4,15.7,MF,0
Matthis Abline,Nantes,FW,21.0,2768,9,2,8.5,3.8,11,4,36,65.2,48,75,169,26,73,27,878,231.0,84.0,160.42,538.3,FW,2
Abner,Lyon,DF,24.0,1090,1,1,0.6,1.1,29,5,41,84.1,66,31,55,3,7,11,791,46.7,129.5,163.21,235.6,DF,3
Zakaria Aboukhlal,Toulouse,"MF,FW",24.0,1901,7,2,10.2,1.6,22,6,9,63.3,22,34,164,26,62,12,613,176.4,69.5,79.13,440.3,MF,4
Abdel Abqar,Alavés,DF,25.0,2463,0,1,0.9,0.3,36,39,146,76.6,79,16,4,1,12,8,1251,31.3,369.0,181.56,157.10000000000002,DF,1
Tammy Abraham,Milan,FW,26.0,1183,3,4,7.1,2.2,17,2,16,68.8,26,8,69,11,26,14,367,73.7,62.0,98.48,186.7,FW,3
Francesco Acerbi,Inter,DF,36.0,1710,0,1,0.4,0.6,23,26,81,92.5,62,19,22,1,5,9,1484,26.3,219.5,151.55,220.9,DF,3
Joshua Acheampong,Chelsea,DF,18.0,170,0,0,0.2,0.0,2,1,2,83.9,8,0,0,0,2,0,137,2.4,9.0,24.39,13.7,DF,0
Akor Adams,Sevilla,FW,24.0,134,0,0,0.4,0.0,0,0,1,74.1,5,0,5,1,2,0,34,4.3,1.5,17.41,13.4,FW,0
Akor Adams,Montpellier,FW,24.0,1075,3,1,4.3,1.0,4,1,5,62.6,6,11,45,12,26,12,251,72.6,17.5,42.260000000000005,131.6,FW,0
Che Adams,Torino,FW,28.0,2652,9,3,9.0,2.0,12,2,18,74.3,40,23,153,25,63,26,802,168.5,55.0,141.43,420.7,FW,4
Tyler Adams,Bournemouth,MF,25.0,1965,0,3,1.6,1.0,83,32,42,84.4,76,14,10,2,9,18,1337,29.2,293.0,199.44,174.70000000000002,MF,1
Junior Adamu,Freiburg,FW,23.0,1545,2,2,5.5,2.4,9,12,20,63.5,14,8,84,11,36,17,534,77.5,72.0,73.05,233.4,FW,4
Tosin Adarabioyo,Chelsea,DF,26.0,1409,1,1,0.9,0.2,17,11,80,91.1,42,5,1,2,13,1,1330,25.8,176.0,98.21,142.5,DF,3
Karim Adeyemi,Dortmund,"FW,MF",22.0,1433,7,6,5.5,6.0,20,7,5,74.3,28,68,153,18,46,28,636,173.0,61.5,141.43,471.6,MF,4
Simon Adingra,Brighton,"FW,MF",22.0,1097,2,2,2.5,2.5,23,8,6,75.9,18,50,136,8,33,16,548,106.0,71.0,81.09,401.8,MF,4
Amine Adli,Leverkusen,"MF,FW",24.0,766,2,0,2.7,0.7,15,0,4,74.2,24,37,100,7,20,11,468,78.9,36.0,74.02000000000001,302.3,MF,4
Yacine Adli,Fiorentina,MF,24.0,1219,4,6,1.0,2.4,32,6,19,80.7,103,24,30,5,14,23,1021,59.5,104.5,273.77,198.1,MF,3
Adrián,Betis,GK,37.0,1710,0,0,0.0,0.0,0,0,14,76.6,0,0,0,0,0,0,658,0.0,21.0,7.66,65.8,GK,0
Michel Aebischer,Bologna,MF,27.0,724,0,0,0.4,0.4,18,7,6,87.4,33,8,17,5,10,8,485,26.3,59.0,87.94,94.5,MF,0
Oladapo Afolayan,St. Pauli,"FW,MF",26.0,1639,3,1,3.1,3.8,17,8,20,69.4,32,53,108,13,38,21,741,125.7,80.0,116.84,369.6,MF,4
Emmanuel Agbadou,Wolves,DF,27.0,1410,1,0,0.8,0.2,30,12,90,85.4,31,6,2,2,7,4,1172,20.6,219.0,77.14,130.2,DF,3
Emmanuel Agbadou,Reims,DF,27.0,1260,0,0,0.5,0.3,25,19,64,87.9,77,10,0,3,15,8,1080,30.5,184.0,175.69,123.0,DF,3
Jeremy Agbonifo,Lens,"FW,MF",18.0,300,1,0,0.7,0.2,7,1,0,72.5,6,13,36,4,6,3,131,29.4,16.0,24.35,104.6,MF,0
Julen Agirrezabala,Athletic Club,GK,23.0,1206,0,0,0.0,0.0,0,0,4,68.4,0,0,0,0,0,0,437,0.0,6.0,6.840000000000001,43.7,GK,0
Lucien Agoume,Sevilla,MF,22.0,2114,1,3,0.9,2.5,70,41,42,81.5,135,29,23,2,10,27,1481,46.8,285.0,335.15,237.6,MF,1
Felix Agu,Werder Bremen,DF,24.0,1751,3,0,1.4,1.8,30,21,48,79.7,43,33,105,4,9,20,1045,59.8,174.0,129.37,364.0,DF,3
Álvaro Aguado,Espanyol,MF,28.0,443,0,1,0.6,0.6,5,4,5,77.8,37,15,4,1,10,4,303,27.7,25.5,92.58,60.8,MF,0
Nayef Aguerd,Real Sociedad,DF,28.0,1760,0,0,2.4,0.1,30,13,91,87.3,75,26,1,5,15,5,1594,53.3,222.5,166.53,200.4,DF,3
Ruben Aguilar,Lens,"DF,MF",31.0,1124,1,2,0.8,1.9,34,13,23,80.3,74,32,101,3,11,11,996,52.1,128.5,184.23,349.6,DF,3
Honest Ahanor,Genoa,"DF,MF",16.0,270,0,0,0.5,0.1,7,1,9,67.1,3,3,7,1,3,2,106,8.5,29.5,16.01,29.1,DF,0
Jean-Eudes Aholou,Angers,MF,30.0,1959,2,0,1.8,1.0,56,33,32,84.3,68,15,16,7,27,10,1032,62.1,226.0,162.43,157.7,MF,3
Joseph Aidoo,Valladolid,DF,28.0,583,0,0,0.0,0.0,5,5,26,89.2,14,1,0,0,1,0,431,2.0,59.0,36.92,44.6,DF,0
Ayman Aiki,Saint-Étienne,"FW,MF",19.0,127,0,0,0.1,0.0,3,1,0,58.6,5,4,8,1,3,1,48,8.7,8.0,17.36,26.8,MF,0
Ola Aina,Nott'ham Forest,DF,27.0,2995,2,1,0.6,1.4,55,33,115,73.5,107,67,67,2,11,16,1708,88.2,348.5,252.55,405.3,DF,1
Rayan Aït-Nouri,Wolves,DF,23.0,3109,4,7,2.7,5.5,89,26,75,84.2,108,89,176,10,36,46,2148,157.4,342.5,330.92,700.3,DF,5
Kristoffer Ajer,Brentford,DF,26.0,1438,0,0,1.0,1.2,26,12,50,78.3,56,27,44,3,9,8,795,42.5,151.0,135.43,208.0,DF,3
Ludovic Ajorque,Brest,FW,30.0,2495,13,2,10.4,3.1,26,6,26,68.9,41,10,124,25,53,35,914,160.3,103.0,156.69,354.4,FW,4
Manuel Akanji,Manchester City,DF,29.0,2014,0,0,1.6,0.4,19,9,64,93.6,158,46,7,2,15,9,1881,67.2,152.0,340.06,271.1,DF,5
Ümit Akdag,Toulouse,DF,20.0,500,0,0,0.1,0.1,8,11,19,78.7,29,4,9,0,2,2,400,6.2,66.5,69.17,64.0,DF,0
Nathan Aké,Manchester City,DF,29.0,678,0,0,0.2,0.0,9,3,22,93.9,50,12,2,0,3,1,596,15.4,57.0,110.89,81.6,DF,0
Ilias Akhomach,Villarreal,"MF,FW",20.0,584,1,0,0.6,1.0,12,3,13,73.5,12,30,64,6,17,9,293,60.2,49.5,47.85,202.3,MF,0
Sergio Akieme,Reims,DF,26.0,2523,2,3,1.5,2.5,34,17,97,81.0,86,55,97,7,26,21,1436,100.5,247.5,228.1,420.1,DF,1
Maghnes Akliouche,Monaco,"FW,MF",22.0,2406,5,10,9.2,7.3,51,15,13,81.3,173,127,226,17,61,49,1566,246.9,151.5,479.53,799.1,MF,2
Clément Akpa,Auxerre,DF,22.0,2486,0,1,0.3,0.9,55,42,141,82.5,74,27,24,1,6,8,1532,35.1,405.5,173.95,241.7,DF,1
Jean-Daniel Akpa-Akpro,Monza,MF,31.0,966,0,0,0.3,0.2,30,13,16,79.5,19,21,22,2,4,3,505,28.6,110.0,51.05,126.0,MF,0
Kevin Akpoguma,Hoffenheim,DF,29.0,2220,0,0,0.1,0.3,54,29,115,87.1,98,14,16,1,5,7,1692,20.7,338.5,216.11,222.2,DF,1
Chuba Akpom,Lille,FW,28.0,639,3,1,5.0,0.5,8,0,3,67.7,7,6,38,9,18,5,165,56.5,20.5,32.77,101.5,FW,0
David Alaba,Real Madrid,DF,32.0,317,0,0,0.0,0.1,1,6,7,90.4,7,2,4,0,0,1,247,2.0,24.5,24.84,35.7,DF,0
Ibrahim Alani,Valladolid,MF,18.0,160,0,0,0.0,0.0,12,1,1,83.5,5,2,1,0,1,0,113,3.0,27.5,18.35,16.3,MF,0
Raúl Albiol,Villarreal,DF,38.0,1188,0,0,0.1,0.0,10,6,69,89.4,34,3,0,0,2,0,915,5.2,135.5,76.94,96.0,DF,3
Carlos Alcaraz,Everton,"FW,MF",21.0,764,2,3,1.7,1.6,11,5,10,80.6,42,19,21,11,26,13,378,70.9,47.0,125.36,108.3,MF,0
Omar Alderete,Getafe,DF,27.0,2971,1,0,1.7,0.9,43,40,241,65.5,112,25,7,10,38,11,1585,84.4,527.5,249.75,210.0,DF,1
Carles Aleñá,Getafe,"MF,FW",26.0,452,0,0,0.9,0.1,6,0,7,79.5,12,3,10,1,5,3,163,11.3,22.5,36.75,40.8,MF,0
Carles Aleñá,Alavés,"MF,FW",26.0,1090,0,2,0.7,1.3,19,2,4,76.1,58,18,43,4,15,19,590,40.4,48.0,162.01,172.0,MF,3
Ben Alexander Voll,St. Pauli,GK,23.0,91,0,0,0.0,0.1,0,0,0,56.0,0,0,0,0,0,1,52,0.0,0.0,7.4,5.2,GK,0
Trent Alexander-Arnold,Liverpool,DF,25.0,2365,3,6,1.9,7.3,72,31,55,73.5,232,51,94,8,45,52,2252,120.8,288.5,589.25,489.7000000000001,DF,5
Alfon,Celta Vigo,"FW,MF",25.0,1371,5,2,4.6,2.6,8,5,5,69.8,22,89,170,19,46,24,551,187.7,33.5,100.78,528.6,MF,4
Mohamed Ali Cho,Nice,"FW,MF",20.0,1621,3,4,4.0,4.0,13,5,8,70.3,59,81,133,15,36,30,720,156.5,48.0,194.03,459.5,MF,4
Alisson,Liverpool,GK,31.0,2508,0,0,0.0,0.6,1,0,13,82.8,1,0,0,0,0,1,1011,0.0,21.5,13.579999999999998,101.1,GK,0
Jim Allevinah,Angers,FW,29.0,1750,1,3,4.2,2.5,19,12,17,75.2,48,57,99,10,35,15,682,118.4,87.5,142.51999999999998,351.7,FW,4
Thiago Almada,Lyon,"MF,FW",23.0,951,1,4,2.0,2.6,14,7,6,84.9,97,38,50,5,23,22,831,75.5,51.0,255.29,240.1,MF,4
Domingos André Ribeiro Almeida,Valencia,"MF,FW",24.0,1977,0,4,1.2,3.2,48,8,14,84.3,142,45,77,5,18,43,1162,72.9,133.0,378.53,337.7,MF,5
Miguel Almirón,Newcastle Utd,FW,30.0,157,0,0,0.5,0.3,3,0,0,81.8,6,3,18,2,6,3,81,13.0,6.0,25.58,48.6,FW,0
Pontus Almqvist,Parma,"FW,MF",25.0,1112,1,1,2.1,1.3,17,19,8,72.4,12,42,85,9,26,10,462,88.7,84.0,53.14,279.2,MF,4
Marcos Alonso,Celta Vigo,DF,33.0,2647,3,0,4.0,1.3,35,34,126,89.2,215,64,49,10,31,21,2683,127.0,327.0,474.32,462.3,DF,5
Giorgio Altare,Venezia,DF,25.0,753,0,0,0.2,0.1,13,17,49,72.8,20,4,5,1,3,1,505,8.9,133.5,49.08,66.5,DF,0
Adrià Altimira,Leganés,"DF,FW",23.0,1630,0,0,0.3,0.5,41,15,54,78.5,42,23,69,2,7,11,826,33.6,193.0,109.85,255.1,DF,3
Sergi Altimira,Betis,MF,22.0,1972,0,1,1.7,1.7,61,24,43,89.3,99,25,30,4,21,22,1521,55.4,234.5,248.03,249.6,MF,1
Edson Álvarez,West Ham,MF,26.0,1772,0,1,0.4,0.8,50,18,46,85.8,85,24,18,1,12,12,1239,38.3,205.0,201.98,195.9,MF,3
Hugo Álvarez,Celta Vigo,"MF,DF",21.0,1572,4,3,2.5,1.1,26,8,29,78.9,60,74,171,9,25,17,1214,129.5,111.5,165.69,574.4,DF,4
Julián Álvarez,Atlético Madrid,FW,24.0,2509,17,4,14.1,5.3,25,2,12,74.2,92,79,162,36,70,41,1238,282.2,72.0,280.82,566.3,FW,2
Yeray Álvarez,Athletic Club,DF,29.0,1781,1,0,0.5,0.2,25,34,129,84.1,105,19,0,2,9,4,1425,35.0,311.5,225.01,171.0,DF,1
Skelly Alvero,Werder Bremen,MF,22.0,236,0,0,0.0,0.0,11,2,10,74.7,8,1,0,0,1,0,136,2.0,41.0,23.47,15.1,MF,0
Selim Amallah,Valladolid,MF,27.0,1376,3,1,3.5,1.1,30,14,5,78.3,57,24,27,7,21,13,607,71.5,95.5,147.63,150.7,MF,3
Harry Amass,Manchester Utd,DF,17.0,346,0,0,0.1,0.0,6,2,11,82.3,7,9,23,0,3,1,250,12.2,32.5,23.73,84.5,DF,0
Amath,Valladolid,"FW,DF",28.0,375,0,1,0.4,0.5,2,2,6,76.8,12,10,29,1,5,6,166,17.3,17.0,45.18,89.6,DF,0
Jordan Amavi,Brest,DF,30.0,790,0,0,0.3,0.2,24,7,18,73.4,36,22,21,3,8,6,615,35.1,89.0,88.94,136.5,DF,3
Aurele Amenda,Eint Frankfurt,DF,21.0,96,0,0,0.0,0.3,1,2,11,84.1,2,1,1,0,0,1,89,1.0,22.5,14.81,12.4,DF,0
Kelvin Amian,Nantes,DF,26.0,2165,1,0,1.0,0.8,55,13,85,80.1,73,32,77,4,7,13,1153,50.0,263.5,175.91,317.3,DF,1
Michael Amir Murillo,Marseille,DF,28.0,2437,1,3,1.5,3.3,49,18,70,87.5,140,43,100,4,13,24,2135,68.0,239.0,343.65,478.0,DF,5
Nadiem Amiri,Mainz 05,MF,27.0,2473,7,5,5.5,6.6,50,16,30,77.0,204,50,64,24,60,63,2093,178.0,177.0,545.0,412.3,MF,5
Samuel Amo-Ameyaw,Strasbourg,"DF,MF",18.0,320,2,0,0.7,0.6,5,3,2,86.2,12,11,18,7,9,5,165,37.9,19.0,41.92,69.0,DF,0
Mathis Amougou,Saint-Étienne,MF,18.0,859,0,0,0.5,0.4,21,12,4,77.1,36,8,17,1,7,7,407,17.5,72.0,91.41,86.7,MF,0
Mohamed Amoura,Wolfsburg,FW,24.0,2467,10,9,8.7,4.0,29,9,24,70.3,61,81,244,25,73,35,1106,238.9,112.0,220.53,720.1,FW,2
Sofyan Amrabat,Fiorentina,MF,27.0,180,0,0,0.0,0.1,3,0,2,84.2,14,2,1,0,0,2,140,2.0,9.0,39.72,19.0,MF,0
Joachim Andersen,Crystal Palace,DF,28.0,90,0,0,0.0,0.0,1,0,7,73.5,4,1,1,1,1,0,93,3.5,12.5,15.35,12.8,DF,0
Joachim Andersen,Fulham,DF,28.0,2583,0,0,1.0,0.5,27,34,188,82.7,112,16,2,4,19,4,2336,43.0,404.0,239.77,261.6,DF,1
Elliot Anderson,Nott'ham Forest,MF,21.0,2728,2,6,2.1,3.3,92,31,76,78.3,143,52,94,7,40,37,1831,112.7,360.0,377.23,449.1,MF,5
André,Wolves,MF,23.0,2472,0,0,0.4,0.8,91,37,30,92.9,109,10,11,1,10,18,1623,22.3,301.0,256.69,199.3,MF,1
Benjamin André,Lille,MF,33.0,2692,0,3,1.4,1.9,103,48,56,83.0,209,29,72,4,16,21,2267,53.8,386.0,472.5,414.2000000000001,MF,5
Marcos André,Valladolid,FW,27.0,1188,1,2,2.7,0.8,10,3,10,65.7,16,11,39,2,22,9,372,44.4,41.0,60.47,131.7,FW,0
Robert Andrich,Leverkusen,"MF,DF",29.0,1598,2,2,1.3,0.3,24,29,23,88.4,65,8,17,5,21,9,1114,45.1,140.5,159.24,157.4,DF,3
Angeliño,Roma,DF,27.0,3177,2,1,1.4,3.7,46,28,98,78.4,172,66,172,6,24,50,2266,107.8,295.0,440.94,669.6,DF,5
Faustino Anjorin,Empoli,MF,22.0,1114,2,3,0.9,1.7,29,13,20,80.5,55,28,35,7,23,17,628,69.3,114.0,157.64999999999998,174.8,MF,3
Waldemar Anton,Dortmund,DF,28.0,1949,2,2,1.7,0.8,34,30,112,90.4,117,32,28,3,19,6,2126,64.9,296.0,260.44,316.6,DF,1
Kyllian Antonio,Lens,"DF,MF",16.0,139,0,0,0.1,0.0,3,3,3,83.5,0,1,0,0,1,0,114,2.2,16.5,8.35,12.9,DF,0
Michail Antonio,West Ham,FW,34.0,836,1,1,2.2,1.6,2,0,2,60.6,18,29,59,4,19,9,296,61.4,7.0,63.36,191.1,FW,0
Antoniu,Espanyol,"FW,MF",21.0,1022,0,1,0.9,1.1,21,8,11,67.0,28,35,63,4,10,7,369,52.8,74.5,79.5,215.4,MF,3
Antony,Manchester Utd,"DF,MF",24.0,141,0,0,1.0,0.1,6,2,0,81.2,6,5,7,3,6,3,101,17.5,16.0,24.92,31.6,DF,0
Antony,Betis,FW,24.0,1362,5,2,2.9,3.5,25,10,9,81.0,67,94,157,17,43,36,982,183.3,83.5,212.6,553.2,FW,2
Anuar,Valladolid,"MF,FW",29.0,1720,2,0,1.7,1.2,38,18,26,81.4,30,24,68,5,11,7,705,51.9,151.0,82.24,242.5,MF,3
Dennis Appiah,Saint-Étienne,DF,32.0,2128,0,1,0.2,2.1,71,29,89,76.6,108,51,110,2,5,13,1486,59.4,333.5,252.46,445.1,DF,1
Aritz Arambarri,Leganés,DF,26.0,177,0,0,0.0,0.0,1,3,8,73.1,2,0,0,0,1,0,86,1.0,20.0,11.31,8.6,DF,0
Mauro Arambarri,Getafe,MF,28.0,2661,10,0,8.2,0.6,48,15,46,73.3,75,17,55,16,53,17,1146,140.4,195.0,184.63,250.1,MF,4
Jon Aramburu,Real Sociedad,DF,22.0,2460,1,1,0.4,1.1,102,30,98,78.4,97,26,53,3,11,15,1887,45.3,411.0,230.64,333.70000000000005,DF,1
Julian Araujo,Bournemouth,DF,22.0,497,0,0,0.0,0.1,10,6,18,79.1,14,4,22,0,0,1,275,4.0,59.0,37.71,77.5,DF,0
Ronald Araújo,Barcelona,DF,25.0,754,1,1,1.0,0.4,12,9,25,91.9,49,6,3,2,4,4,798,18.0,79.5,117.39,94.8,DF,0
Cameron Archer,Southampton,FW,23.0,1441,2,0,5.7,0.5,13,2,11,81.7,14,22,66,10,28,5,398,82.4,46.5,45.17,204.8,FW,0
Carlens Arcus,Angers,DF,28.0,2047,0,1,0.0,1.4,52,27,83,79.4,70,39,79,0,3,17,1249,42.0,282.5,180.64,341.4,DF,1
Alphonse Areola,West Ham,GK,31.0,2260,0,0,0.0,0.0,2,0,15,69.6,1,0,0,0,0,0,1049,0.0,26.5,8.96,104.9,GK,0
Jesús Areso,Osasuna,DF,25.0,3079,0,3,0.2,3.5,53,8,92,72.4,106,101,203,0,8,30,1902,109.4,260.0,283.74,747.7,DF,5
Joe Aribo,Southampton,"MF,DF",28.0,2013,3,0,2.7,1.6,47,20,32,88.8,75,36,65,7,17,16,1271,77.9,182.0,187.68,311.1,DF,3
Adam Armstrong,Southampton,"FW,MF",27.0,1248,2,2,3.3,1.2,12,3,8,80.2,21,25,79,7,25,9,377,73.1,42.0,73.12,233.2,MF,4
José Arnaiz,Osasuna,"FW,MF",29.0,133,0,0,0.3,0.1,7,5,1,67.5,4,6,20,3,6,3,117,17.1,25.5,19.55,60.7,MF,0
Hákon Arnar Haraldsson,Lille,"MF,FW",21.0,1755,5,3,3.8,2.8,36,8,6,79.4,102,52,143,13,35,35,1136,129.1,97.0,281.84000000000003,477.6,MF,4
Marko Arnautović,Inter,FW,35.0,527,4,2,3.3,1.2,7,1,1,71.5,16,4,61,6,13,7,198,44.6,17.5,59.25,147.8,FW,0
Maximilian Arnold,Wolfsburg,MF,30.0,2356,3,5,0.9,3.5,34,24,70,77.2,128,9,16,12,27,45,1576,64.8,221.0,356.72,203.1,MF,1
Jann-Fiete Arp,Holstein Kiel,"FW,MF",24.0,713,2,0,3.8,1.0,13,3,8,58.6,21,14,66,9,20,11,303,61.1,44.0,67.36,183.3,MF,0
Sergio Arribas,Betis,DF,21.0,90,0,0,0.0,0.0,7,3,4,68.5,1,0,4,0,0,0,71,0.0,26.0,8.850000000000001,15.1,DF,0
Kepa Arrizabalaga,Bournemouth,GK,29.0,2790,0,0,0.1,0.0,1,0,15,73.2,2,0,0,0,1,1,1087,1.2,24.5,12.82,108.7,GK,0
Arthur,Leverkusen,DF,21.0,752,0,1,0.1,0.4,14,9,29,78.9,25,15,53,0,1,2,508,16.2,89.5,65.09,179.3,DF,0
Takuma Asano,Mallorca,"FW,MF",29.0,1054,2,1,2.7,0.7,13,6,9,67.6,20,28,76,8,28,6,356,79.4,51.5,60.86,229.6,MF,4
Raúl Asencio,Real Madrid,DF,21.0,1670,0,1,0.1,0.6,22,16,88,93.8,27,5,4,1,3,6,1149,9.7,208.0,77.18,130.4,DF,3
Marco Asensio,Aston Villa,MF,28.0,743,3,1,4.4,1.0,7,2,3,77.3,45,22,38,9,22,16,386,75.3,22.5,127.73,147.6,MF,0
Marco Asensio,Paris S-G,"FW,MF",28.0,618,2,4,5.6,2.7,4,0,1,86.9,36,19,49,14,26,16,377,83.2,9.5,124.79,164.2,MF,4
Kristjan Asllani,Inter,MF,22.0,980,2,2,2.5,1.9,14,9,13,89.2,55,7,20,3,14,15,1061,36.5,65.5,153.12,156.60000000000002,MF,3
Iago Aspas,Celta Vigo,"FW,MF",36.0,1745,10,5,8.7,4.6,13,8,5,75.4,132,50,143,18,46,38,1038,170.4,49.5,357.34000000000003,464.8,MF,2
Yaser Asprilla,Girona,"FW,MF",20.0,1405,3,1,2.1,2.8,22,7,7,72.1,77,72,140,11,38,24,831,139.7,68.5,208.61,471.1,MF,4
Lorenz Assignon,Rennes,"DF,MF",24.0,2357,3,4,2.2,3.5,49,25,74,78.0,116,98,206,5,22,29,1638,140.9,259.0,305.8,722.8,DF,5
Dehmaine Assoumani,Nantes,"MF,FW",19.0,98,0,0,0.1,0.9,6,1,4,76.0,1,4,15,2,3,5,77,10.2,20.0,19.8,43.7,MF,0
Valentin Atangana Edoa,Reims,MF,18.0,2854,1,0,2.5,1.1,69,37,64,86.0,93,41,38,6,33,12,1433,91.0,308.0,215.9,280.8,MF,1
Arthur Atta,Udinese,"MF,FW",21.0,1251,0,1,1.3,1.4,20,7,15,80.4,57,31,77,7,26,18,813,70.1,76.5,156.24,281.8,MF,4
Noah Atubolu,Freiburg,GK,22.0,2307,0,0,0.0,0.0,0,0,13,74.5,2,0,0,0,0,0,1198,0.0,19.5,11.45,119.8,GK,0
Emil Audero,Como,GK,27.0,720,0,0,0.0,0.0,0,0,4,82.6,0,0,0,0,0,0,269,0.0,6.0,8.26,26.9,GK,0
Tommaso Augello,Cagliari,DF,29.0,2713,0,7,0.3,4.6,49,16,109,71.9,118,58,113,0,8,39,1902,66.6,293.5,336.49,503.2000000000001,DF,5
Carlos Augusto,Inter,DF,25.0,1625,3,2,2.8,1.6,29,9,50,88.3,80,31,83,6,24,9,1413,78.6,151.0,193.13,353.8,DF,4
Yann Aurel Bisseck,Inter,DF,23.0,1553,3,2,2.6,0.9,17,17,64,91.8,93,32,44,5,21,7,1465,74.7,164.0,214.38,282.5,DF,3
Brandon Austin,Tottenham,GK,25.0,90,0,0,0.0,0.0,0,0,1,68.8,0,0,0,0,0,0,36,0.0,1.5,6.88,3.6,GK,0
Ezequiel Ávila,Betis,FW,30.0,677,2,0,1.5,1.0,8,2,8,69.7,18,12,48,10,20,15,323,56.0,32.0,68.47,146.3,FW,0
Taiwo Awoniyi,Nott'ham Forest,FW,26.0,416,1,0,2.1,0.1,6,0,7,63.5,7,6,20,4,10,2,167,29.2,22.5,23.65,65.7,FW,0
Yasin Ayari,Brighton,MF,20.0,1965,2,1,2.4,2.3,59,20,26,81.5,75,30,61,8,28,30,1233,80.8,197.0,213.05,290.3,MF,3
Florian Ayé,Auxerre,FW,27.0,575,2,0,1.9,0.1,2,7,6,73.6,7,5,30,3,12,3,187,31.3,27.0,26.16,86.2,FW,0
André Ayew,Le Havre,FW,34.0,1453,4,1,4.3,0.2,18,3,21,76.1,18,5,43,9,22,8,378,61.1,73.5,59.21,131.3,FW,0
Jordan Ayew,Leicester City,"FW,MF",32.0,1638,5,0,3.2,1.1,27,12,19,74.3,46,49,86,8,31,16,798,113.4,106.5,126.73,325.3,MF,4
Neil El Aynaoui,Lens,MF,23.0,1588,8,1,4.0,2.0,39,30,29,84.5,75,11,29,7,16,22,1196,69.5,181.5,200.45,194.1,MF,3
Adam Aznou,Valladolid,DF,18.0,876,0,0,0.3,0.3,28,10,30,71.4,25,16,26,1,4,6,508,22.1,121.0,67.03999999999999,126.8,DF,3
César Azpilicueta,Atlético Madrid,DF,34.0,875,1,0,0.2,0.1,25,5,32,86.6,66,13,20,2,5,3,759,24.4,108.0,145.46,135.4,DF,3
Paulo Azzi,Cagliari,DF,30.0,426,0,0,0.5,0.9,11,5,11,70.0,13,15,26,3,8,5,242,28.5,48.5,43.2,98.7,DF,0
Shavy Babicka,Toulouse,"MF,FW",24.0,1186,4,2,3.9,1.6,21,3,4,67.1,21,36,122,9,20,13,428,89.3,54.0,79.01,340.8,MF,4
Aliou Badara Baldé,Bochum,"MF,FW",21.0,91,0,0,0.2,0.2,1,0,0,55.0,1,2,5,1,4,2,43,7.9,2.0,11.1,17.3,MF,0
Loïc Bade,Sevilla,DF,24.0,2686,1,1,0.6,0.7,47,29,162,85.7,62,11,6,4,13,4,2135,34.2,395.0,143.67,242.0,DF,1
Milan Badelj,Genoa,MF,35.0,1472,1,0,1.0,1.1,29,20,43,81.5,83,8,14,2,14,12,1014,30.0,162.5,195.45,141.4,MF,3
Benoît Badiashile,Chelsea,DF,23.0,334,0,0,0.0,0.0,9,6,12,89.8,17,3,2,0,0,0,336,3.0,48.0,42.98,42.1,DF,0
Alex Baena,Villarreal,"MF,FW",23.0,2595,7,9,7.1,11.7,28,22,22,66.6,189,91,154,17,69,95,1569,220.7,133.0,589.26,601.4,MF,2
Juma Bah,Valladolid,DF,18.0,864,0,0,0.3,0.0,10,12,60,81.1,13,0,1,1,3,1,523,5.1,134.0,35.61,54.3,DF,0
Juma Bah,Lens,DF,18.0,686,0,0,0.1,0.2,16,17,47,93.4,9,3,1,1,2,2,480,6.7,136.5,30.940000000000005,54.5,DF,0
Leon Bailey,Aston Villa,"FW,MF",26.0,1139,1,2,1.7,1.5,7,3,12,71.0,35,58,121,6,28,16,545,101.4,38.0,111.6,383.5,MF,4
Eric Bailly,Villarreal,DF,30.0,617,0,0,0.3,0.0,12,6,29,87.5,18,1,0,0,4,0,394,5.6,79.5,44.75,40.900000000000006,DF,0
